ROA(C) before interest and depreciation before interest,ROA(A) before interest and % after tax,ROA(B) before interest and depreciation after tax,Operating Gross Margin,Realized Sales Gross Margin,Operating Profit Rate,Pre-tax net Interest Rate,After-tax net Interest Rate,Non-industry income and expenditure/revenue,Continuous interest rate (after tax),Operating Expense Rate,Research and development expense rate,Cash flow rate,Interest-bearing debt interest rate,Tax rate (A),Net Value Per Share (B),Net Value Per Share (A),Net Value Per Share (C),Persistent EPS in the Last Four Seasons,Cash Flow Per Share,Revenue Per Share (Yuan ¥),Operating Profit Per Share (Yuan ¥),Per Share Net profit before tax (Yuan ¥),Realized Sales Gross Profit Growth Rate,Operating Profit Growth Rate,After-tax Net Profit Growth Rate,Regular Net Profit Growth Rate,Continuous Net Profit Growth Rate,Total Asset Growth Rate,Net Value Growth Rate,Total Asset Return Growth Rate Ratio,Cash Reinvestment %,Current Ratio,Quick Ratio,Interest Expense Ratio,Total debt/Total net worth,Debt ratio %,Net worth/Assets,Long-term fund suitability ratio (A),Borrowing dependency,Contingent liabilities/Net worth,Operating profit/Paid-in capital,Net profit before tax/Paid-in capital,Inventory and accounts receivable/Net value,Total Asset Turnover,Accounts Receivable Turnover,Average Collection Days,Inventory Turnover Rate (times),Fixed Assets Turnover Frequency,Net Worth Turnover Rate (times),Revenue per person,Operating profit per person,Allocation rate per person,Working Capital to Total Assets,Quick Assets/Total Assets,Current Assets/Total Assets,Cash/Total Assets,Quick Assets/Current Liability,Cash/Current Liability,Current Liability to Assets,Operating Funds to Liability,Inventory/Working Capital,Inventory/Current Liability,Current Liabilities/Liability,Working Capital/Equity,Current Liabilities/Equity,Long-term Liability to Current Assets,Retained Earnings to Total Assets,Total income/Total expense,Total expense/Assets,Current Asset Turnover Rate,Quick Asset Turnover Rate,Working capitcal Turnover Rate,Cash Turnover Rate,Cash Flow to Sales,Fixed Assets to Assets,Current Liability to Liability,Current Liability to Equity,Equity to Long-term Liability,Cash Flow to Total Assets,Cash Flow to Liability,CFO to Assets,Cash Flow to Equity,Current Liability to Current Assets,Liability-Assets Flag,Net Income to Total Assets,Total assets to GNP price,No-credit Interval,Gross Profit to Sales,Net Income to Stockholder's Equity,Liability to Equity,Degree of Financial Leverage (DFL),Interest Coverage Ratio (Interest expense to EBIT),Equity to Liability,prediction,actual
-0.4669522,0.30819505,-0.6678183,-0.37463412,-0.057652235,0.06185659,0.25178507,-0.020107495,0.0033786986,-0.9499742,-0.045149013,0.058006182,-0.16148528,0.0033952477,-0.02306166,-0.055380434,-0.08754046,0.007552143,-0.58177185,-0.15211245,0.20885238,-0.07235627,0.076036826,-0.13046215,-0.3285555,0.08862122,0.18838452,-0.646549,-0.25118044,0.0,0.05167562,-0.002402762,-0.22639851,0.0,0.56447905,0.16011432,-0.22274466,-0.012829303,-0.17233166,-0.061373178,0.015416595,0.08201987,0.00346338,-0.049312644,-0.12031116,0.00025482607,0.0,0.014188365,-0.06525648,0.006378172,0.0,0.46718067,0.0,-0.010540686,0.049919583,-0.12379163,-0.41010278,0.0,0.0,-0.136907,0.22831927,-0.14042097,-0.0018253241,0.023968076,-0.22035204,0.04993237,0.0,-0.22911169,-0.10259729,-0.06915586,-0.0026629663,-0.15037312,0.14451419,-0.31799662,-0.11115953,0.08981763,0.0,0.0,-0.11446341,-0.046323124,-0.15203455,-0.039059978,0.15157586,0.040287327,0.0,-0.117568605,0.0,0.2049645,0.013622817,-0.03532324,0.01589918,-0.013529366,0.07976895,0.0,0,0
-0.47441164,0.30819505,-0.51222104,-0.333311,-0.057652235,0.058896355,0.25178507,-0.020107495,0.0043118577,-1.0274159,0.20213722,0.030971367,-0.12862124,0.0033952477,-0.02306166,-0.036360018,-0.09054313,0.0048642233,-0.5839851,-0.1507678,0.20885238,-0.09589866,0.076036826,-0.12218781,-0.31081116,0.08862122,0.18838452,-0.646549,-0.21202646,0.0,0.050131746,-0.002918817,-0.22639851,0.0,0.56447905,0.16011432,-0.22286762,-0.012829303,-0.16804317,-0.03793839,-0.0071610827,0.08201987,0.0031182468,-0.057247944,-0.07096262,0.00025482607,0.0,-0.00036699045,-0.06525648,0.006378172,0.0,0.31912497,0.0,0.009668765,0.0227199,-0.13848604,-0.39775425,0.0,0.0,-0.13446124,0.22831927,-0.17478,-0.0018253241,-0.08028575,-0.20249452,0.04993237,0.0,-0.2293231,-0.10034644,-0.2244864,0.019855678,-0.051142976,0.10360277,-0.31799662,-0.10236853,0.11351296,0.0,0.0,-0.11590232,-0.046323124,-0.15372184,0.014214471,0.18272224,0.040287327,0.0,-0.11730682,0.0,0.21011446,0.013622817,-0.03532324,0.012205496,-0.0039125513,0.11262953,0.0,0,0
-0.48291045,0.3432171,-0.73922616,-0.37606606,-0.057652235,0.058896355,0.2509659,-0.017428963,0.060897246,-0.9370338,-0.045149013,0.030971367,-0.16092683,0.0033952477,-0.02306166,-0.039338,-0.09555389,0.001706887,-0.5250729,-0.12745258,0.20885238,-0.09589866,0.076036826,-0.11743824,-0.31177357,0.08862122,0.18838452,-0.6428756,-0.2559122,0.0,0.050686568,-0.00072270725,-0.22639851,0.0,0.53921187,0.16011432,-0.25212562,-0.012829303,-0.14246495,-0.038483806,0.015416595,0.08239822,0.007939663,-0.055032767,-0.103041515,0.00025482607,0.0,0.014188365,-0.0615708,0.006771786,0.0,0.45997423,0.0,0.020560583,0.05341173,-0.1580843,-0.39714748,0.0,0.0,-0.153385,0.22831927,-0.18898797,-0.0018253241,0.014725044,-0.20249452,0.04613486,0.0,-0.2256865,-0.10044742,-0.24479392,-0.0026629663,-0.064226575,0.10410684,-0.27362707,-0.119647905,0.13787384,0.0,0.0,-0.11914562,-0.046323124,-0.16414934,0.019982738,0.14988378,0.040287327,0.0,-0.1317718,0.0,0.19068481,0.013622817,-0.044631053,0.016806249,-0.0057242904,0.113451146,0.0,0,0
-0.48425448,0.34403628,-0.7524922,-0.37245658,-0.057652235,0.06185659,0.25178507,-0.017428963,0.14409696,-0.94102836,-0.045149013,0.058006182,-0.17023288,0.0033952477,-0.02306166,-0.039338,-0.09272116,0.001706887,-0.53111464,-0.12745258,0.20885238,-0.07235627,0.076036826,-0.13035794,-0.32904324,0.08862122,0.18838452,-0.6428756,-0.25511435,0.0,0.05153966,-0.0002066521,-0.22639851,0.0,0.5216662,0.16011432,-0.25212562,-0.012829303,-0.13944705,-0.04035312,0.015416595,0.08239822,0.0082848035,-0.047097467,-0.12031116,0.00025482607,0.0,0.014188365,-0.0615708,0.006771786,0.0,0.519936,0.0,0.00035113445,0.04155079,-0.13522771,-0.4031222,0.0,0.0,-0.15943764,0.22831927,-0.15222266,-0.0018253241,0.030487243,-0.22035204,0.04613486,0.0,-0.22816302,-0.0996868,-0.0531858,-0.0026629663,-0.056983143,0.14451419,-0.2668755,-0.1284389,0.11417851,0.0,0.0,-0.12187576,-0.046323124,-0.16414934,-0.03595944,0.14988378,0.005300332,0.0,-0.11901478,0.0,0.19680484,0.013622817,-0.044631053,0.016806249,-0.012368159,0.08059055,0.0,0,0
-0.4799922,0.34053177,-0.79329985,-0.43205053,-0.060454253,0.05931548,0.25178507,-0.018237915,0.17165719,-0.8645798,-0.045149013,0.06093508,-0.1656891,0.0033952477,-0.02306166,-0.010986759,-0.0860544,0.001706887,-0.53055215,-0.12717858,0.20885238,-0.07908534,0.076036826,-0.1925747,-0.37427893,0.08862122,0.18655284,-0.64774865,-0.2559122,0.0,0.05153966,0.0030163461,-0.22639851,0.0,0.52861506,0.16011432,-0.23936088,-0.012829303,-0.14372636,0.13174278,0.014607644,0.07990912,-0.0297719,-0.04263281,-0.12043677,0.00025482607,0.0,0.014459626,0.5958197,0.006771786,0.0,0.5345744,0.0,0.00035113445,0.051195975,-0.16862069,-0.38990086,0.0,0.0,-0.14853439,0.07157608,-0.2573749,-0.0018253241,0.030338746,-0.2226698,0.07888168,0.0,-0.21454461,-0.0996868,-0.037089393,-0.006106835,-0.06262127,0.14451419,-0.2651987,-0.12052351,0.13858564,0.0,0.0,-0.11492409,-0.039648216,-0.16414934,-0.04496984,0.13944393,0.005300332,0.0,-0.11282435,0.0,0.19680484,0.013622817,-0.03557347,0.016392495,-0.0020136263,0.10603907,0.0,0,0
-0.47474632,0.3432171,-0.75506425,-0.32046774,-0.057652235,0.06185659,0.24298888,-0.017428963,0.096773945,-0.94645125,-0.045149013,0.058006182,-0.17023288,0.0033952477,-0.02306166,-0.039338,-0.0860544,0.01737269,-0.4192024,-0.13173145,0.20885238,-0.07235627,0.07138421,-0.12078113,-0.3293446,0.08862122,0.18838452,-0.6419646,-0.2676566,0.0,0.04869114,-0.00093388,-0.1751466,0.0,0.53921187,0.16011432,-0.27822107,-0.012829303,-0.14422534,-0.03788367,0.015416595,0.082017094,0.008007243,-0.04661309,-0.12031116,0.00025482607,0.0,0.14229503,-0.061444934,0.006771786,0.0,0.50368184,0.0,0.00035113445,0.022328231,-0.14338988,-0.39926183,0.0,0.0,-0.15434168,0.22990619,-0.14073968,-0.0018253241,-0.005981167,-0.22035204,0.046032425,0.0,-0.22380172,-0.09628171,-0.04791283,-0.0026069772,-0.061757185,0.14451419,-0.27362707,-0.12204176,0.11417851,0.0,0.0,-0.121432364,-0.046323124,-0.16414934,-0.03595944,0.16295409,0.040287327,0.0,-0.13203359,0.0,0.15475334,0.013622817,-0.021776704,0.020791262,0.005108355,0.08059055,0.0,0,0
-0.5367117,0.3397126,-0.79329985,-0.43205053,-0.060454253,0.05931548,0.2509659,-0.018237915,0.119257085,-0.8645798,-0.045149013,0.06093508,-0.1656891,0.0033952477,-0.02306166,-0.010986759,-0.094793275,0.001706887,-0.52196836,-0.12717858,0.20885238,-0.10262773,0.076036826,-0.1925747,-0.37427893,0.08862122,0.18655284,-0.6463504,-0.23986514,0.0,0.05153966,0.0022891182,-0.22639851,0.0,0.54616064,0.16011432,-0.23988293,-0.012829303,-0.14629479,0.13269146,0.014607644,0.079528,-0.028698685,-0.043276846,-0.12043677,0.00025482607,0.0,0.014459626,0.59612894,0.006771786,0.0,0.45325595,0.0,0.00035113445,0.048153065,-0.16862069,-0.38992786,0.0,0.0,-0.15049043,0.07157608,-0.29383096,-0.0018253241,-0.015287176,-0.2226698,0.07888168,0.0,-0.21214296,-0.0996868,-0.2313696,-0.006106835,-0.065090664,0.14451419,-0.27195027,-0.1180598,0.13858564,0.0,0.0,-0.11864974,-0.039648216,-0.16414934,-0.04496984,0.13944393,0.040287327,0.0,-0.11282435,0.0,0.18931876,0.013622817,-0.03417521,0.01670172,0.016322387,0.10684845,0.0,0,0
-0.44331205,0.34135777,-0.65455234,-0.35220596,-0.057652235,0.062155478,0.25178507,-0.020107495,0.044592276,-0.9370338,-0.045149013,0.030971367,-0.15217924,0.0033952477,-0.02306166,-0.05676216,-0.086815014,0.001706887,-0.52470076,-0.1266083,0.20885238,-0.07235627,0.076036826,-0.11618894,-0.31177357,0.08862122,0.18838452,-0.6428756,-0.2578841,0.0,0.05082253,-0.002918817,-0.22639851,0.0,0.56447905,0.16011432,-0.24061505,-0.012829303,-0.14494215,-0.043261323,0.015416595,0.082933225,0.003038887,-0.057247944,-0.103041515,0.00025482607,0.0,0.014188365,-0.06463655,0.006771786,0.0,0.5216057,0.0,0.009668765,0.034113113,-0.12691057,-0.40181136,0.0,0.0,-0.15807158,0.22831927,-0.15222266,-0.0018253241,0.030487243,-0.2031707,0.04993237,0.0,-0.22405083,-0.10301405,-0.0555365,-0.0026629663,-0.09580854,0.10410684,-0.3896433,-0.11028392,0.11417851,0.0,0.0,-0.11914562,-0.046323124,-0.16035181,0.019982738,0.14988378,0.040287327,0.0,-0.11850325,0.0,0.20196845,0.013622817,-0.044631053,0.016806249,-0.004091884,0.10633762,0.0,0,0
-0.42619097,0.34403628,-0.73922616,-0.37606606,-0.057652235,0.062155478,0.25178507,-0.017428963,0.11329743,-0.9370338,-0.045149013,0.030971367,-0.16092683,0.0033952477,-0.02306166,-0.039338,-0.086815014,0.001706887,-0.53111464,-0.12745258,0.20885238,-0.07235627,0.076036826,-0.11451231,-0.31177357,0.08862122,0.18838452,-0.6428756,-0.25416568,0.0,0.050686568,-0.00072270725,-0.22639851,0.0,0.5216662,0.16011432,-0.25212562,-0.012829303,-0.14017256,-0.03753514,0.015416595,0.08239822,0.007939663,-0.05454839,-0.103041515,0.00025482607,0.0,0.014188365,-0.06161188,0.006771786,0.0,0.54129267,0.0,0.020560583,0.051195975,-0.13507272,-0.39717448,0.0,0.0,-0.153385,0.22831927,-0.15173829,-0.0018253241,0.013833512,-0.2031707,0.04613486,0.0,-0.22425346,-0.10044742,-0.055857904,-0.0026629663,-0.061757185,0.10410684,-0.2668755,-0.12756328,0.11417851,0.0,0.0,-0.12287127,-0.046323124,-0.16414934,0.019982738,0.14988378,0.005300332,0.0,-0.1317718,0.0,0.19817092,0.013622817,-0.044631053,0.017290626,0.012611723,0.113451146,0.0,0,0
-0.43806615,0.34135777,-0.6571243,-0.28719836,-0.057652235,0.062155478,0.24380809,-0.020107495,0.049669452,-0.94245666,-0.045149013,0.030971367,-0.15217924,0.0033952477,-0.02306166,-0.05676216,-0.086815014,0.01737269,-0.41883028,-0.13088717,0.20885238,-0.07235627,0.07138421,-0.10661214,-0.31207496,0.08862122,0.18838452,-0.6617221,-0.28647342,0.0,0.047974013,-0.002918817,-0.1751466,0.0,0.56447905,0.16011432,-0.26671046,-0.012829303,-0.1451651,-0.041740548,0.015416595,0.082933225,0.003086377,-0.057247944,-0.09818864,0.00025482607,0.0,0.14229503,-0.064469606,0.006771786,0.0,0.49223796,0.0,0.009668765,0.0030296054,-0.112913184,-0.397924,0.0,0.0,-0.1576622,0.22990619,-0.14122406,-0.0018253241,0.025140114,-0.2031707,0.049829938,0.0,-0.22112258,-0.09960896,-0.04759144,-0.0026069772,-0.09580854,0.10410684,-0.3896433,-0.1063505,0.11417851,0.0,0.0,-0.11914562,-0.046323124,-0.16035181,0.019982738,0.16295409,0.040287327,0.0,-0.11850325,0.0,0.15991695,0.013622817,-0.021776704,0.020306885,-0.003368753,0.10633762,0.0,0,0
